GEOID,Tract-Name,2019 Scores - 2010 Scores
025011600,116.0,-3
025011700,117.0,-3
025011801,118.01,-3
025011802,118.02,-3
025011803,118.03,-2
025011900,119.0,8
025012001,120.01,-8
025012002,120.02,-1
025012100,121.0,-7
025012200,122.0,-2
025012301,123.01,1
025012302,123.02,-3
025012400,124.0,5
025940000,9400.0,2
027000100,1.0,16
027000200,2.0,10
027000300,3.0,10
027000400,4.0,11
027000500,5.0,-4
027000800,8.0,-3
029000101,1.01,3
029000102,1.02,8
029000200,2.0,10
029000300,3.0,12
029000400,4.0,16
029000503,5.03,8
029000504,5.04,10
029000505,5.05,9
029000506,5.06,8
029000507,5.07,12
029000600,6.0,17
029000700,7.0,21
029000800,8.0,13
029000902,9.02,11
029000903,9.03,11
029000904,9.04,11
029000905,9.05,11
029000906,9.06,9
029000907,9.07,8
029000908,9.08,9
029000909,9.09,9
029000910,9.1,9
029001000,10.0,5
029001101,11.01,7
029001102,11.02,9
029001103,11.03,11
029001201,12.01,13
029001202,12.02,16
029001300,13.0,22
029001400,14.0,19
029001500,15.0,21
029001600,16.0,34
029001700,17.0,20
029001801,18.01,2
029001802,18.02,10
029001901,19.01,13
029001902,19.02,16
029002000,20.0,17
029002100,21.0,17
029002200,22.0,15
029002301,23.01,10
029002302,23.02,12
029002400,24.0,9
029002500,25.0,15
029002600,26.0,11
029002700,27.0,10
029002804,28.04,2
029002806,28.06,6
029002807,28.07,5
029002808,28.08,7
029002811,28.11,6
029002812,28.12,3
029002813,28.13,6
029002814,28.14,7
029002815,28.15,7
029002816,28.16,6
029002817,28.17,6
029002818,28.18,6
029002819,28.19,7
029002820,28.2,7
029002821,28.21,7
029002900,29.0,9
029003000,30.0,9
029003103,31.03,8
029003112,31.12,8
029003113,31.13,8
029003114,31.14,7
029003115,31.15,8
029003121,31.21,9
029003122,31.22,8
029003123,31.23,7
029003124,31.24,7
029003202,32.02,7
029003203,32.03,6
029003204,32.04,6
029003205,32.05,7
029003206,32.06,6
029003303,33.03,4
029003304,33.04,4
029003305,33.05,3
029003306,33.06,4
029003400,34.0,5
029003500,35.0,5
029003600,36.0,4
029003700,37.0,5
029003803,38.03,6
029003804,38.04,6
029003805,38.05,7
029003806,38.06,8
029003807,38.07,7
029003808,38.08,7
029003809,38.09,6
029003810,38.1,7
029003811,38.11,7
029003812,38.12,7
029003813,38.13,7
029003900,39.0,5
029004000,40.0,2
029004101,41.01,3
029004102,41.02,2
029004200,42.0,4
029004301,43.01,3
029004302,43.02,3
029004401,44.01,3
029004402,44.02,3
029004500,45.0,-2
029004601,46.01,1
029004603,46.03,2
029004604,46.04,3
029004701,47.01,3
029004702,47.02,3
029004800,48.0,2
029004901,49.01,2
029004902,49.02,2
029005003,50.03,2
029005004,50.04,2
029005103,51.03,2
029005104,51.04,4
029005201,52.01,4
029005203,52.03,3
029005204,52.04,2
029005300,53.0,-4
029005401,54.01,-5
029005402,54.02,-4
029005403,54.03,-4
029005404,54.04,-1
029005501,55.01,-5
029005506,55.06,0
029005507,55.07,-1
029005508,55.08,2
029005600,56.0,1
029005700,57.0,1
029005801,58.01,0
029005802,58.02,0
029005900,59.0,4
029006002,60.02,3
029006003,60.03,4
029006004,60.04,3
029006006,60.06,3
029006007,60.07,-4
029006008,60.08,0
029006100,61.0,4
029006201,62.01,5
029006202,62.02,-3
