GEOID,Tract-Name,2019 Scores - 2010 Scores
013346204,3462.04,-100.0
013347000,3470.0,-30.0
013348000,3480.0,16.0
013349000,3490.0,28.0
013350000,3500.0,11.0
013351101,3511.01,0.0
013351102,3511.02,0.0
013351103,3511.03,0.0
013351200,3512.0,21.0
013352101,3521.01,80.0
013352102,3521.02,9.0
013352201,3522.01,15.0
013352202,3522.02,-100.0
013353001,3530.01,-35.0
013353002,3530.02,22.0
013354001,3540.01,-6.0
013354002,3540.02,-14.0
013355107,3551.07,-12.0
013355108,3551.08,-13.0
013355109,3551.09,73.0
013355110,3551.1,-21.0
013355111,3551.11,-5.0
013355112,3551.12,-29.0
013355113,3551.13,-52.0
013355114,3551.14,-24.0
013355115,3551.15,51.0
013355116,3551.16,3.0
013355117,3551.17,4.0
013355200,3552.0,-48.0
013355301,3553.01,19.0
013355302,3553.02,-16.0
013355304,3553.04,48.0
013355306,3553.06,-15.0
013356001,3560.01,32.0
013356002,3560.02,-20.0
013357000,3570.0,7.0
013358000,3580.0,-7.0
013359102,3591.02,54.0
013359103,3591.03,17.0
013359104,3591.04,-62.0
013359105,3591.05,34.0
013359202,3592.02,-23.0
013359203,3592.03,-100.0
013359204,3592.04,-28.0
013360101,3601.01,15.0
013360102,3601.02,46.0
013360200,3602.0,14.0
013361000,3610.0,-8.0
013362000,3620.0,51.0
013363000,3630.0,30.0
013364002,3640.02,-19.0
013365002,3650.02,-20.0
013365003,3650.03,46.0
013366001,3660.01,24.0
013366002,3660.02,-12.0
013367100,3671.0,-61.0
013367200,3672.0,-35.0
013368001,3680.01,-3.0
013368002,3680.02,-23.0
013369001,3690.01,-59.0
013369002,3690.02,0.0
013370000,3700.0,60.0
013371000,3710.0,-15.0
013372000,3720.0,10.0
013373000,3730.0,4.0
013374000,3740.0,-17.0
013375000,3750.0,-3.0
013376000,3760.0,-11.0
013377000,3770.0,11.0
013378000,3780.0,43.0
013379000,3790.0,4.0
013380000,3800.0,-14.0
013381000,3810.0,9.0
013382000,3820.0,4.0
013383000,3830.0,-13.0
013384000,3840.0,4.0
013385100,3851.0,68.0
013385200,3852.0,-41.0
013386000,3860.0,0.0
013387000,3870.0,-30.0
013388000,3880.0,51.0
013389100,3891.0,0.0
013389200,3892.0,1.0
013390100,3901.0,-13.0
013390200,3902.0,-2.0
013391000,3910.0,-100.0
013392000,3920.0,0.0
013392200,3922.0,-10.0
013392300,3923.0,-50.0
015000101,1.01,12.0
015000102,1.02,-55.0
015000104,1.04,-26.0
015000105,1.05,-5.0
015000201,2.01,-37.0
015000202,2.02,39.0
015000203,2.03,34.0
017030200,302.0,-30.0
017030301,303.01,75.0
017030302,303.02,-12.0
017030401,304.01,-100.0
017030402,304.02,-13.0
017030502,305.02,-29.0
017030504,305.04,-30.0
017030505,305.05,100.0
017030601,306.01,-20.0
017030602,306.02,11.0
017030603,306.03,-60.0
017030701,307.01,10.0
017030704,307.04,59.0
017030706,307.06,-42.0
017030709,307.09,-40.0
017030710,307.1,-4.0
017030801,308.01,-8.0
017030803,308.03,13.0
017030804,308.04,-33.0
017030807,308.07,24.0
017030808,308.08,8.0
017030809,308.09,-81.0
017030810,308.1,0.0
017030901,309.01,-64.0
017030902,309.02,66.0
017031000,310.0,33.0
017031100,311.0,44.0
017031200,312.0,-9.0
017031301,313.01,54.0
017031302,313.02,0.0
017031402,314.02,28.0
017031404,314.04,0.0
017031405,314.05,-2.0
017031406,314.06,16.0
017031502,315.02,7.0
017031503,315.03,62.0
017031504,315.04,3.0
017031600,316.0,-23.0
017031700,317.0,23.0
017031800,318.0,-38.0
017031900,319.0,0.0
017032000,320.0,0.0
019000100,1.0,0.0
019000200,2.0,-19.0
019000300,3.0,63.0
019000400,4.0,-55.0
019000501,5.01,-25.0
019000502,5.02,17.0
019000600,6.0,6.0
019000700,7.0,3.0
019000800,8.0,-56.0
019000901,9.01,11.0
019000902,9.02,-33.0
019001000,10.0,-27.0
019001100,11.0,-37.0
019001201,12.01,21.0
019001202,12.02,11.0
019001301,13.01,-14.0
019001303,13.03,-20.0
019001304,13.04,49.0
019001407,14.07,15.0
019001408,14.08,-9.0
019001409,14.09,6.0
019001410,14.1,6.0
019001411,14.11,-5.0
019001412,14.12,-27.0
019001413,14.13,14.0
019001414,14.14,41.0
019001500,15.0,-60.0
019001600,16.0,15.0
019001700,17.0,-15.0
019001800,18.0,-38.0
019001900,19.0,-38.0
019002000,20.0,-14.0
019002100,21.0,-34.0
019002200,22.0,14.0
019002300,23.0,-27.0
019002400,24.0,8.0
019002501,25.01,9.0
019002502,25.02,23.0
019002601,26.01,-23.0
019002602,26.02,32.0
019002701,27.01,4.0
019002702,27.02,11.0
019002800,28.0,-10.0
019002903,29.03,-25.0
019002904,29.04,24.0
019002905,29.05,25.0
019002906,29.06,-8.0
019003001,30.01,-14.0
019003003,30.03,5.0
019003004,30.04,-39.0
019003102,31.02,-15.0
019003103,31.03,27.0
019003104,31.04,-52.0
019003201,32.01,-3.0
019003202,32.02,-20.0
019003301,33.01,-22.0
019003302,33.02,25.0
019003400,34.0,-7.0
019003500,35.0,48.0
019003600,36.0,-30.0
019003701,37.01,-31.0
019003702,37.02,-26.0
019003803,38.03,4.0
019003804,38.04,10.0
019003805,38.05,26.0
019003807,38.07,-32.0
019003808,38.08,50.0
019003809,38.09,-24.0
019003810,38.1,14.0
019003900,39.0,-26.0
019004001,40.01,-42.0
019004002,40.02,8.0
019004100,41.0,71.0
019004205,42.05,-41.0
019004207,42.07,3.0
019004208,42.08,-30.0
019004210,42.1,-9.0
019004211,42.11,-27.0
019004212,42.12,-2.0
019004213,42.13,0.0
019004214,42.14,51.0
019004215,42.15,-38.0
019004216,42.16,12.0
019004301,43.01,28.0
019004302,43.02,-8.0
019004303,43.03,54.0
019004404,44.04,56.0
019004405,44.05,-12.0
019004406,44.06,14.0
019004408,44.08,-54.0
019004409,44.09,56.0
019004503,45.03,39.0
019004504,45.04,43.0
019004505,45.05,0.0
019004506,45.06,-28.0
019004601,46.01,50.0
019004602,46.02,40.0
019004701,47.01,7.0
019004703,47.03,19.0
019004704,47.04,-38.0
019004801,48.01,84.0
019004802,48.02,37.0
019004901,49.01,58.0
019004902,49.02,17.0
019005000,50.0,48.0
019005100,51.0,-51.0
019005202,52.02,44.0
019005203,52.03,-20.0
019005204,52.04,7.0
019005301,53.01,8.0
019005302,53.02,-3.0
019005304,53.04,-74.0
019005305,53.05,-59.0
019005403,54.03,47.0
019005405,54.05,-12.0
019005406,54.06,-49.0
019005407,54.07,12.0
019005408,54.08,0.0
019005409,54.09,-34.0
019005410,54.1,25.0
019005503,55.03,-41.0
019005504,55.04,-41.0
019005505,55.05,-6.0
019005507,55.07,-24.0
019005508,55.08,32.0
019005509,55.09,3.0
019005510,55.1,-35.0
019005512,55.12,-25.0
019005513,55.13,2.0
019005514,55.14,1.0
019005515,55.15,-20.0
019005516,55.16,26.0
019005517,55.17,35.0
019005518,55.18,3.0
019005520,55.2,2.0
019005522,55.22,30.0
019005524,55.24,-25.0
019005525,55.25,72.0
019005602,56.02,20.0
019005605,56.05,40.0
019005606,56.06,-15.0
019005607,56.07,8.0
019005608,56.08,17.0
019005701,57.01,-19.0
019005702,57.02,-71.0
019005703,57.03,62.0
019005704,57.04,-9.0
019005801,58.01,13.0
019005802,58.02,-1.0
019005804,58.04,8.0
019005805,58.05,-37.0
019005904,59.04,-4.0
019005905,59.05,-43.0
019005906,59.06,-95.0
019005907,59.07,-50.0
019005909,59.09,49.0
019005911,59.11,20.0
019005912,59.12,-21.0
019006000,60.0,-26.0
019006100,61.0,19.0
019006201,62.01,-52.0
019006202,62.02,4.0
019006300,63.0,-5.0
019006402,64.02,2.0
019006403,64.03,51.0
019006404,64.04,54.0
019006405,64.05,-80.0
019006501,65.01,-16.0
019006502,65.02,14.0
019006602,66.02,-34.0
019006603,66.03,17.0
019006604,66.04,25.0
019006700,67.0,23.0
019006802,68.02,37.0
019006900,69.0,-49.0
019007002,70.02,-1.0
019007003,70.03,-5.0
019007004,70.04,21.0
019007100,71.0,12.0
019007201,72.01,27.0
019007202,72.02,7.0
019007300,73.0,10.0
019007400,74.0,-31.0
019007500,75.0,-26.0
019007600,76.0,-9.0
019007700,77.0,-10.0
019007801,78.01,-17.0
019007802,78.02,-6.0
019007901,79.01,0.0
019007902,79.02,29.0
019008000,80.0,-10.0
019008100,81.0,-11.0
019008200,82.0,8.0
019008301,83.01,-40.0
019008302,83.02,-22.0
019008401,84.01,53.0
019008402,84.02,-90.0
019008501,85.01,-43.0
019008502,85.02,4.0
021010100,101.0,-25.0
021010200,102.0,-15.0
021010300,103.0,36.0
021010400,104.0,-12.0
021010501,105.01,15.0
021010502,105.02,-60.0
023000100,1.0,-69.0
023000200,2.0,23.0
023000300,3.0,25.0
023000400,4.0,-40.0
023000500,5.0,53.0
023000600,6.0,-18.0
023000700,7.0,32.0
023000800,8.0,5.0
023000900,9.0,77.0
023001000,10.0,52.0
023001101,11.01,56.0
023001200,12.0,13.0
023001300,13.0,-20.0
023010102,101.02,-10.0
023010200,102.0,-13.0
023010300,103.0,0.0
023010400,104.0,-18.0
023010501,105.01,21.0
023010502,105.02,-19.0
023010600,106.0,-21.0
